type,title,age_certification,description,release_year,genre,seasons,titleType,runtimeMinutes,averageRating,numVotes,platform,year
MOVIE,Jersey,,,2022.0,"['drama', 'sport', 'romance']",,movie,170,7.3,12281.0,Netflix,
MOVIE,Bill Burr Presents: Friends Who Kill,PG-13,,2022.0,"['comedy', 'documentation']",,tvSpecial,73,4.6,2264.0,Netflix,
MOVIE,Choose or Die,,,2022.0,"['scifi', 'thriller', 'drama', 'horror']",,movie,84,4.8,20205.0,Netflix,
MOVIE,Rescued by Ruby,,,2022.0,"['family', 'drama']",,movie,90,7.1,8003.0,Netflix,
MOVIE,Downfall: The Case Against Boeing,R,,2022.0,['documentation'],,movie,89,7.4,11021.0,Netflix,
MOVIE,A Perfect Pairing,,,2022.0,"['comedy', 'romance']",,movie,101,6.1,11767.0,Netflix,
MOVIE,Jackass 4.5,,,2022.0,['comedy'],,video,90,6.5,11365.0,Netflix,
MOVIE,The Weekend Away,,,2022.0,"['thriller', 'crime', 'drama']",,movie,89,5.6,24044.0,Netflix,
SHOW,Love on the Spectrum U.S.,TV-14,,2022.0,"['reality', 'documentation', 'romance']",1.0,tvSeries,40,8.2,1343.0,Netflix,
MOVIE,Bubble,PG,,2022.0,"['scifi', 'fantasy', 'romance', 'sport', 'thriller', 'animation', 'action', 'drama']",,movie,100,6.3,5386.0,Netflix,
SHOW,The Guardians of Justice,TV-MA,,2022.0,"['action', 'scifi']",1.0,tvSeries,30,4.9,3190.0,Netflix,
MOVIE,Ricky Gervais: SuperNature,,,2022.0,['comedy'],,tvSpecial,64,7.6,18503.0,Netflix,
MOVIE,Looop Lapeta,,,2022.0,"['romance', 'thriller', 'action', 'comedy', 'crime']",,movie,131,5.1,4663.0,Netflix,
MOVIE,White Hot: The Rise & Fall of Abercrombie & Fitch,R,,2022.0,['documentation'],,movie,88,5.7,4475.0,Netflix,
MOVIE,Along for the Ride,,,2022.0,"['drama', 'romance']",,movie,106,6.1,6435.0,Netflix,
MOVIE,Return to Space,,,2022.0,['documentation'],,movie,128,7.3,4553.0,Netflix,
MOVIE,Radhe Shyam,,,2022.0,"['drama', 'romance']",,movie,138,5.3,29341.0,Netflix,
SHOW,The Puppet Master: Hunting the Ultimate Conman,TV-MA,,2022.0,"['documentation', 'crime']",1.0,tvMiniSeries,127,7.0,7041.0,Netflix,
SHOW,Yakamoz S-245,TV-MA,,2022.0,"['scifi', 'drama', 'action', 'thriller']",1.0,tvSeries,45,6.1,6385.0,Netflix,
MOVIE,Home Team,PG,,2022.0,"['family', 'comedy', 'sport']",,movie,95,6.0,18510.0,Netflix,
MOVIE,Toscana,,,2022.0,"['drama', 'romance']",,movie,90,5.7,6995.0,Netflix,
SHOW,Yeh Kaali Kaali Ankhein,TV-MA,,2022.0,"['drama', 'thriller', 'crime']",1.0,tvSeries,51,7.0,7526.0,Netflix,
